window,capture_start,capture_stop,usable_start,usable_stop,timestamp,center_frequency,noise_floor,average_power,minimum_power,peak_power,peak_frequency,dynamic_range,bin_width,fft_size,sample_rate,gain
41,85192656.66372463,87592656.66372463,85432656.66372463,87352656.66372463,2026-07-09T22:54:35.248639+00:00,86392656.66372463,27.352119505700095,26.53415606645066,-18.137018263752605,73.00285612282568,86399980.88247463,45.65073661712558,146.484375,16384,2400000.0,0.0
42,86728473.08031774,89128473.08031774,86968473.08031774,88888473.08031774,2026-07-09T22:54:35.305711+00:00,87928473.08031774,27.73320459264332,26.948522460389633,-15.685588822213244,40.975073499912824,88181158.62719274,13.241868907269502,146.484375,16384,2400000.0,0.0
43,88264289.49691086,90664289.49691086,88504289.49691086,90424289.49691086,2026-07-09T22:54:35.364458+00:00,89464289.49691086,28.403460253304882,27.643217690122263,-11.157553258155728,44.529950008669516,89021760.20003586,16.126489755364634,146.484375,16384,2400000.0,0.0
44,89800105.91350397,92200105.91350397,90040105.91350397,91960105.91350397,2026-07-09T22:54:35.421222+00:00,91000105.91350397,27.902745051592365,27.239497738867506,-18.581008876007875,43.05292825099062,91200057.08537897,15.150183199398253,146.484375,16384,2400000.0,0.0
45,91335922.33009708,93735922.33009708,91575922.33009708,93495922.33009708,2026-07-09T22:54:35.477606+00:00,92535922.33009708,26.921046737095992,26.09781085444406,-23.99116535895789,39.52081180402417,91782260.22072208,12.599765066928178,146.484375,16384,2400000.0,0.0
46,92871738.7466902,95271738.7466902,93111738.7466902,95031738.7466902,2026-07-09T22:54:35.536346+00:00,94071738.7466902,24.299882052807412,23.699096315731424,-17.947495892832052,46.797997201312185,93735703.5904402,22.498115148504773,146.484375,16384,2400000.0,0.0
47,94407555.16328332,96807555.16328332,94647555.16328332,96567555.16328332,2026-07-09T22:54:35.595511+00:00,95607555.16328332,24.34550067678628,23.58243080892261,-14.616366231892881,50.55166003588876,95999986.80390832,26.20615935910248,146.484375,16384,2400000.0,0.0
48,95943371.57987644,98343371.57987644,96183371.57987644,98103371.57987644,2026-07-09T22:54:35.654914+00:00,97143371.57987644,24.698419360507742,23.94383059778975,-19.110800524132827,44.007670289874454,96506750.48612644,19.309250929366712,146.484375,16384,2400000.0,0.0
49,97479187.99646954,99879187.99646954,97719187.99646954,99639187.99646954,2026-07-09T22:54:35.713551+00:00,98679187.99646954,26.697668947090367,26.325496768529852,-15.14292281241384,53.338216086659706,98693543.46521954,26.64054713956934,146.484375,16384,2400000.0,0.0
50,99015004.41306266,101415004.41306266,99255004.41306266,101175004.41306266,2026-07-09T22:54:35.772949+00:00,100215004.41306266,27.041766182779778,26.27584322906081,-13.711686854476984,45.25542841121815,99491957.53806266,18.21366222843837,146.484375,16384,2400000.0,0.0
51,100550820.82965578,102950820.82965578,100790820.82965578,102710820.82965578,2026-07-09T22:54:35.832156+00:00,101750820.82965578,27.576644287209174,26.894197022534872,-20.109205437468447,45.949254343717946,102503164.57965578,18.372610056508773,146.484375,16384,2400000.0,0.0
52,102086637.24624889,104486637.24624889,102326637.24624889,104246637.24624889,2026-07-09T22:54:35.891859+00:00,103286637.24624889,26.95842238026873,26.35087719871195,-12.595893959428288,52.2854319986638,103704557.16812389,25.327009618395074,146.484375,16384,2400000.0,0.0
53,103622453.662842,106022453.662842,103862453.662842,105782453.662842,2026-07-09T22:54:35.953109+00:00,104822453.662842,23.360896471186376,23.644017600365785,-18.02478400204132,61.11526206854184,104703068.897217,37.75436559735546,146.484375,16384,2400000.0,0.0
54,105158270.07943512,107558270.07943512,105398270.07943512,107318270.07943512,2026-07-09T22:54:36.012794+00:00,106358270.07943512,21.628060640516367,21.674257689000292,-24.9384041082026,66.92697188953508,106897332.57943512,45.298911249018715,146.484375,16384,2400000.0,0.0
55,106694086.49602824,109094086.49602824,106934086.49602824,108854086.49602824,2026-07-09T22:54:36.072067+00:00,107894086.49602824,21.225795136611005,21.446908584529105,-18.572982127526384,59.1042063652824,106922162.66790324,37.878411228671396,146.484375,16384,2400000.0,0.0
56,108229902.91262135,110629902.91262135,108469902.91262135,110389902.91262135,2026-07-09T22:54:36.133498+00:00,109429902.91262135,25.97573688767521,25.130405912963965,-23.049244805072938,51.031384935948495,110399922.44387135,25.055648048273284,146.484375,16384,2400000.0,0.0
57,109765719.32921447,112165719.32921447,110005719.32921447,111925719.32921447,2026-07-09T22:54:36.192785+00:00,110965719.32921447,28.082639784076502,27.31396602323101,-6.541480120301228,51.473119174283525,110399996.67296447,23.390479390207023,146.484375,16384,2400000.0,0.0
58,111301535.74580759,113701535.74580759,111541535.74580759,113461535.74580759,2026-07-09T22:54:36.252502+00:00,112501535.74580759,29.82962973778003,29.006885576675522,-18.586613638082355,45.119973646577094,113104318.94893259,15.290343908797063,146.484375,16384,2400000.0,0.0
59,112837352.16240071,115237352.16240071,113077352.16240071,114997352.16240071,2026-07-09T22:54:36.311350+00:00,114037352.16240071,29.373492362290357,28.599590244304082,-20.57763661698217,66.98459522570593,115199998.64677571,37.611102863415574,146.484375,16384,2400000.0,0.0
60,114373168.57899381,116773168.57899381,114613168.57899381,116533168.57899381,2026-07-09T22:54:36.370318+00:00,115573168.57899381,29.70599691592281,28.929216813599993,-4.256364156230532,70.56461138335806,115200072.87586881,40.858614467435245,146.484375,16384,2400000.0,0.0
61,115908984.99558693,118308984.99558693,116148984.99558693,118068984.99558693,2026-07-09T22:54:36.429833+00:00,117108984.99558693,30.530073765953503,29.63347749120908,-6.382390401495108,50.69044938145427,116247217.41746193,20.16037561550077,146.484375,16384,2400000.0,0.0
62,117444801.41218005,119844801.41218005,117684801.41218005,119604801.41218005,2026-07-09T22:54:36.489776+00:00,118644801.41218005,29.88366222673341,28.943661107129106,-4.823160153295694,42.24643880332771,117890113.91218005,12.362776576594303,146.484375,16384,2400000.0,0.0
63,118980617.82877317,121380617.82877317,119220617.82877317,121140617.82877317,2026-07-09T22:54:36.549492+00:00,120180617.82877317,30.124955155444198,29.30493503715995,-16.90607015765687,50.632858371121586,120000002.59439817,20.507903215677388,146.484375,16384,2400000.0,0.0
64,120516434.24536628,122916434.24536628,120756434.24536628,122676434.24536628,2026-07-09T22:54:36.608456+00:00,121716434.24536628,31.636388161189846,30.887882747453546,-13.077414953691356,47.76876630025438,122519754.55786628,16.13237813906453,146.484375,16384,2400000.0,0.0
65,122052250.6619594,124452250.6619594,122292250.6619594,124212250.6619594,2026-07-09T22:54:36.667178+00:00,123252250.6619594,32.761879245939454,31.91920959775396,-8.23184583521588,48.5765715380234,124095414.7244594,15.814692292083947,146.484375,16384,2400000.0,0.0
66,123588067.07855251,125988067.07855251,123828067.07855251,125748067.07855251,2026-07-09T22:54:36.724716+00:00,124788067.07855251,32.79953993953509,32.00912437153689,-11.091868083498442,63.24213796960177,124800078.79730251,30.442598030066684,146.484375,16384,2400000.0,0.0
67,125123883.49514562,127523883.49514562,125363883.49514562,127283883.49514562,2026-07-09T22:54:36.783606+00:00,126323883.49514562,33.06026924925974,32.268273081072294,-7.998894129832095,47.43834469903977,126712067.08889562,14.378075449780027,146.484375,16384,2400000.0,0.0
68,126659699.91173874,129059699.91173874,126899699.91173874,128819699.91173874,2026-07-09T22:54:36.841881+00:00,127859699.91173874,33.12107576472215,32.23460679398657,-12.74555268000245,46.90251273892753,128813020.22423874,13.781436974205377,146.484375,16384,2400000.0,0.0
69,128195516.32833186,130595516.32833186,128435516.32833186,130355516.32833186,2026-07-09T22:54:36.901712+00:00,129395516.32833186,32.80025733002441,32.00598524324003,-7.676944464626746,61.49611096008711,129600008.51583186,28.6958536300627,146.484375,16384,2400000.0,0.0
70,129731332.74492498,132131332.74492498,129971332.74492498,131891332.74492498,2026-07-09T22:54:36.961527+00:00,130931332.74492498,32.83278249105322,31.953740732059487,-5.632002516114608,46.850160989291886,131999936.26054998,14.017378498238664,146.484375,16384,2400000.0,0.0
71,131267149.16151808,133667149.16151808,131507149.16151808,133427149.16151808,2026-07-09T22:54:37.021500+00:00,132467149.16151808,33.6823177276128,32.859458979972274,-10.53006047226229,48.0953532560459,133180381.58339308,14.413035528433099,146.484375,16384,2400000.0,0.0
72,132802965.5781112,135202965.5781112,133042965.5781112,134962965.5781112,2026-07-09T22:54:37.081264+00:00,134002965.5781112,34.16267267535411,33.37945341757414,-7.792386738851556,56.3409124990979,134399938.2343612,22.178239823743787,146.484375,16384,2400000.0,0.0
