Frequency,Service,System,Site,License,County,State
944.875,AS,RICHARDSON BROADCASTING CORPORATION,-,-,Jefferson,AL
945.5,AS,GLEN IRIS BAPTIST SCHOOL,-,-,Jefferson,AL
946.5,AS,"IHM LICENSES, LLC",-,-,Jefferson,AL
947.375,AS,KIMTRON INC,-,-,Jefferson,AL
948,AS,GLEN IRIS BAPTIST SCHOOL,-,-,Jefferson,AL
948.5,AS,"IHM LICENSES, LLC",-,-,Jefferson,AL
949,AS,IHM LICENSES LLC,-,-,Jefferson,AL
949.5,AS,BRIARWOOD PRESBYTERIAN CHURCH,-,-,Jefferson,AL
951,AS,"SM-WAGG, LLC",-,-,Jefferson,AL
951.375,AS,"LOAM MEDIA, INC.",-,-,Jefferson,AL
951.5,AS,"KIMTRON, INC.",-,-,Jefferson,AL
951.625,AS,"LOAM MEDIA, INC.",-,-,Jefferson,AL
952.11875,MG,"Southern Natural Gas Company, LLC",-,-,Jefferson,AL
1282.5,HAM,1200 MHz Ham - HAM,-,-,Jefferson,AL
1283.4,HAM,1200 MHz Ham - HAM,-,-,Jefferson,AL
1285.5,HAM,1200 MHz Ham - HAM,-,-,Jefferson,AL
