Frequency,Service,System,Site,License,County,State
160.44,IG,Csx Transportation Inc,-,-,Jefferson,AL
160.455,IG,Csx Transportation Inc,-,-,Mobile,AL
160.4625,IG,Csx Transportation Inc,-,-,Mobile,AL
160.47,IG,Csx Transportation Inc,-,-,Mobile,AL
160.485,IG,Bnsf Railway Co.,-,-,Jefferson,AL
160.5,IG,Norfolk Southern Railway Company,-,-,Jefferson,AL
160.515,IG,Norfolk Southern Railway Company,-,-,Jefferson,AL
160.53,IG,Norfolk Southern Railway Company,-,-,Jefferson,AL
160.55,IG,NORFOLK SOUTHERN RAILWAY COMPANY,-,-,Jefferson,AL
160.56,IG,Birmingham Terminal Railway (BHRR) - Backup/Unused (Ch 15),-,-,Jefferson,AL
160.575,IG,Birmingham Terminal Railway (BHRR) - Backup/Unused (Ch 1),-,-,Jefferson,AL
160.59,IG,Csx Transportation Inc,-,-,Jefferson,AL
160.605,IG,Birmingham Terminal Railway (BHRR) - Port Job (runs to Birmingham Port),-,-,Jefferson,AL
160.62,IG,Csx Transportation Inc,-,-,Jefferson,AL
160.635,IG,Csx Transportation Inc,-,-,Jefferson,AL
160.65,IG,Norfolk Southern Railway Company,-,-,Jefferson,AL
160.665,IG,Norfolk Southern Railway Company,-,-,Jefferson,AL
160.68,IG,Csx Transportation Inc,-,-,Jefferson,AL
160.695,IG,Bnsf Railway Co.,-,-,Jefferson,AL
160.71,IG,BNSF Railway Co.,-,-,Jefferson,AL
160.74,IG,Norfolk Southern Railway Company,-,-,Jefferson,AL
160.77,IG,Norfolk Southern Railway Company,-,-,Jefferson,AL
160.785,IG,Csx Transportation Inc,-,-,Jefferson,AL
160.8,IG,Csx Transportation Inc,-,-,Jefferson,AL
160.815,IG,Birmingham Terminal Railway (BHRR) - Backup/Unused (Ch 12),-,-,Jefferson,AL
160.83,IG,Norfolk Southern Railway Company,-,-,Jefferson,AL
160.845,IG,Norfolk Southern Railway Company,-,-,Jefferson,AL
160.86,IG,Csx Transportation Inc,-,-,Jefferson,AL
160.875,IG,BNSF Railway Co.,-,-,Jefferson,AL
160.89,IG,Csx Transportation Inc,-,-,Limestone,AL
160.905,IG,Alabama Warrior Railway Llc,-,-,Jefferson,AL
160.927,IG,BNSF Railway Co.,-,-,Jefferson,AL
160.935,IG,Norfolk Southern Railway Company,-,-,Jefferson,AL
160.95,IG,Norfolk Southern Railway Company,-,-,Jefferson,AL
160.965,IG,Bnsf Railway Co.,-,-,Walker,AL
160.98,IG,Csx Transportation Inc,-,-,Jefferson,AL
160.995,IG,Bnsf Railway Co.,-,-,Jefferson,AL
161.01,IG,Csx Transportation Inc,-,-,Jefferson,AL
161.025,IG,Birmingham Terminal Railway (BHRR) - Pipe Job (switches US Steel Pipemill),-,-,Jefferson,AL
161.055,IG,Norfolk Southern Railway Company,-,-,Jefferson,AL
161.085,IG,Norfolk Southern Railway Company,-,-,Jefferson,AL
161.1,IG,Csx Transportation Inc,-,-,Jefferson,AL
161.115,IG,Alabama Great Southern Railroad,-,-,Tuscaloosa,AL
161.145,IG,Alabama Great Southern Railroad,-,-,Tuscaloosa,AL
161.16,IG,Bnsf Railway Co.,-,-,Jefferson,AL
161.205,IG,Norfolk Southern Railway Company,-,-,Jefferson,AL
161.22,IG,Csx Transportation Inc,-,-,Jefferson,AL
161.25,IG,Norfolk Southern Railway Company,-,-,Jefferson,AL
161.265,IG,Csx Transportation Inc,-,-,Jefferson,AL
161.295,IG,Norfolk Southern Railway Company,-,-,Jefferson,AL
161.31,IG,Csx Transportation Inc,-,-,Jefferson,AL
161.34,IG,Bnsf Railway Co.,-,-,Jefferson,AL
161.355,IG,Bnsf Railway Co.,-,-,Jefferson,AL
161.37,IG,Csx Transportation Inc,-,-,Jefferson,AL
161.385,IG,Birmingham Terminal Railway (BHRR) - General Job,-,-,Jefferson,AL
161.4,IG,Alabama Warrior Railway Llc,-,-,Jefferson,AL
161.415,IG,Csx Transportation Inc,-,-,Jefferson,AL
161.43,IG,Csx Transportation Inc,-,-,Jefferson,AL
161.445,IG,Birmingham Terminal Railway (BHRR) - Yard Job,-,-,Jefferson,AL
161.46,IG,Norfolk Southern Railway Company,-,-,Shelby,AL
161.475,IG,Norfolk Southern Railway Company,-,-,Tuscaloosa,AL
161.49,IG,Norfolk Southern Railway Company,-,-,Jefferson,AL
161.505,IG,Norfolk Southern Railway Company,-,-,Jefferson,AL
161.52,IG,Csx Transportation Inc,-,-,Mobile,AL
161.535,IG,Norfolk Southern Railway Company,-,-,Jefferson,AL
161.55,IG,Norfolk Southern Railway Company,-,-,Jefferson,AL
161.565,IG,Norfolk Southern Railway Company,-,-,Jefferson,AL
161.64,RP,Radio License Holding Cbc Llc,-,-,Jefferson,AL
161.67,RP,Autaugaville Radio Inc,-,-,Jefferson,AL
161.7,RP,Radio License Holding Cbc Llc,-,-,Jefferson,AL
173.20375,IG,Spire - Alabama,-,-,Shelby,AL
173.2375,IG,Spire - Alabama,-,-,Jefferson,AL
173.2625,IG,Spire - Alabama,-,-,Shelby,AL
173.3375,IG,Pgp Operating Llc,-,-,Jefferson,AL
173.3625,IG,Pgp Operating Llc,-,-,Jefferson,AL
173.39625,IG,Spire - Alabama,-,-,Jefferson,AL
217.54375,IG,Bessemer Water Service,-,-,Jefferson,AL
217.975,IG,Dexter Fortson Associates,-,-,Jefferson,AL
219.1,IG,Peabody Southeast Mining Llc,-,-,Tuscaloosa,AL
224.12,IG,200 MHz HAM - HAM,-,-,Jefferson,AL
224.44,IG,200 MHz HAM - HAM,-,-,Jefferson,AL
442.65,HAM,KA5GET 442.65 - HAM,-,-,Jefferson,AL
443.175,HAM,KK4BSK 443.175 - HAM,-,-,Jefferson,AL
443.675,HAM,W4RKZ 443.675 - HAM,-,-,Jefferson,AL
443.7,HAM,KK4BSK 443.7 - HAM,-,-,Jefferson,AL
444.1,HAM,KK4BSK 444.1 - HAM,-,-,Jefferson,AL
444.625,HAM,KA9KUN 444.625 - HAM,-,-,Jefferson,AL
